episode	status	artifact	evidence
EV-B1	retained	tests/test_vertical_slice.py	Semantic derivation: candidate membership absent from input is entailed and materialised with matching CriterionEvaluation and CategoryAssignment.
EV-B2	retained	fixtures/reasoner/inconsistent.ttl	Logical inconsistency: validate.ps1 requires the deliberately inconsistent fixture to be rejected by HermiT.
EV-B3	retained	fixtures/k-constraints/negative-all.ttl	Structural rejection: negative K-constraint fixture exercises SHACL non-conformance paths.
EV-B4	retained	queries/K-24-layer-authority.rq	Layer authority: K-24 rejects assessment-bearing membership generated by L3 or assessor authority.
EV-B5	retained	queries/K-23-assignment-agreement.rq	Materialisation mismatch: K-23 requires CategoryAssignment to agree with a satisfied evaluation and entailed membership.
EV-B6	retained	fixtures/k-constraints/negative-all.ttl	Incomplete derivation: incomplete derivation records are represented and rejected where material findings require completeness.
EV-B7	retained	tests/test_phase2_access.py	Epistemic distinction: unknown inventory, explicit absence and assumptions are distinguished in three-valued evaluations.
EV-B8	deferred	reports/cq-value-oracle-matrix.tsv	Run comparison is represented in the vocabulary and CQ matrix but comparison production is deferred because no run-diff mechanism is admitted in Phase 2.
EV-B9	retained	scripts/audit_formalisation.py	Module isolation: formalisation audit and publication lint protect the frozen core/module allocation and extension policy.
EV-B10	retained	reports/phase2-performance.ttl	Performance recording: target, environment and historical measurement context are retained; future CI measurements can be assessed against the predeclared target.
EV-B11	carried-forward	cases/etcs/LEGACY_ARCHITECTURE_SOURCES.md	ETCS case validation protocol is identified, but independent ETCS assessment evidence is not yet available; disagreements cannot honestly be analysed in Phase 2 construction.
